scenario_id,request,reference,review_status,reviewer,correction
g00-timing-p0,"On 2026-09-14, plan the outbound journey from OMSI/SE Water [stop_id=13773] to SW Hall & 5th [stop_id=13780]. Depart no earlier than 07:30:00 and arrive by 08:15:00, inclusive. Make at most one transfer.","{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":27000},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":29700},{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1}]}",provisional_unaudited,,
g00-timing-p1,"Please find scheduled transport for this request. On 2026-09-14, plan the outbound journey from OMSI/SE Water [stop_id=13773] to SW Hall & 5th [stop_id=13780]. Depart no earlier than 07:30:00 and arrive by 08:15:00, inclusive. Make at most one transfer.","{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":27000},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":29700},{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1}]}",provisional_unaudited,,
g00-negation-p0,"On 2026-09-14, plan the outbound journey from OMSI/SE Water [stop_id=13773] to SW Hall & 5th [stop_id=13780]. Do not use rail or tram. Do not depart before 07:45:00. Make no transfers.","{""and"":[{""direction"":""outbound"",""requirement"":""forbidden_modes"",""target"":[""rail"",""tram""]},{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":27900},{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0}]}",provisional_unaudited,,
g00-negation-p1,"Please find scheduled transport for this request. On 2026-09-14, plan the outbound journey from OMSI/SE Water [stop_id=13773] to SW Hall & 5th [stop_id=13780]. Do not use rail or tram. Do not depart before 07:45:00. Make no transfers.","{""and"":[{""direction"":""outbound"",""requirement"":""forbidden_modes"",""target"":[""rail"",""tram""]},{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":27900},{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0}]}",provisional_unaudited,,
g00-visits-p0,"On 2026-09-14, plan the outbound journey from OMSI/SE Water [stop_id=13773] to SW Hall & 5th [stop_id=13780]. Call at stop 13733 and then stop 3398, in that order; remaining aboard counts. Use only buses.","{""and"":[{""direction"":""outbound"",""requirement"":""ordered_calls"",""target"":[""13733"",""3398""]},{""direction"":""outbound"",""requirement"":""allowed_modes"",""target"":[""bus""]}]}",provisional_unaudited,,
g00-visits-p1,"Please find scheduled transport for this request. On 2026-09-14, plan the outbound journey from OMSI/SE Water [stop_id=13773] to SW Hall & 5th [stop_id=13780]. Call at stop 13733 and then stop 3398, in that order; remaining aboard counts. Use only buses.","{""and"":[{""direction"":""outbound"",""requirement"":""ordered_calls"",""target"":[""13733"",""3398""]},{""direction"":""outbound"",""requirement"":""allowed_modes"",""target"":[""bus""]}]}",provisional_unaudited,,
g00-infeasible-p0,"On 2026-09-14, plan the outbound journey from OMSI/SE Water [stop_id=13773] to SW Hall & 5th [stop_id=13780]. Depart no earlier than 08:30:00 and arrive by 08:00:00.","{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":30600},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":28800}]}",provisional_unaudited,,
g00-infeasible-p1,"Please find scheduled transport for this request. On 2026-09-14, plan the outbound journey from OMSI/SE Water [stop_id=13773] to SW Hall & 5th [stop_id=13780]. Depart no earlier than 08:30:00 and arrive by 08:00:00.","{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":30600},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":28800}]}",provisional_unaudited,,
g00-scope-p0,"On 2026-09-14, plan the outbound journey from OMSI/SE Water [stop_id=13773] to SW Hall & 5th [stop_id=13780]. Also plan a return segment from SW Hall & 5th [stop_id=13780] to NE Weidler & 15th [stop_id=10425] after 09:00:00. I handle any movement between the outbound destination and return origin myself outside these journeys. On the outbound segment only, make no transfers. On the return segment, depart no earlier than 09:15:00.","{""and"":[{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0},{""direction"":""return"",""requirement"":""earliest_departure"",""target"":33300}]}",provisional_unaudited,,
g00-scope-p1,"Please find scheduled transport for this request. On 2026-09-14, plan the outbound journey from OMSI/SE Water [stop_id=13773] to SW Hall & 5th [stop_id=13780]. Also plan a return segment from SW Hall & 5th [stop_id=13780] to NE Weidler & 15th [stop_id=10425] after 09:00:00. I handle any movement between the outbound destination and return origin myself outside these journeys. On the outbound segment only, make no transfers. On the return segment, depart no earlier than 09:15:00.","{""and"":[{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0},{""direction"":""return"",""requirement"":""earliest_departure"",""target"":33300}]}",provisional_unaudited,,
g01-timing-p0,"On 2026-09-14, plan the outbound journey from NW 5th & Davis [stop_id=9301] to 300 Block SW Lincoln [stop_id=3397]. Depart no earlier than 07:30:00 and arrive by 08:15:00, inclusive. Make at most one transfer.","{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":27000},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":29700},{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1}]}",provisional_unaudited,,
