scenario_id,index,rule,pool_size,effect,accepted,same_request_equivalent_clause_indices,marginal_exclusions,direction_swap_changes_journeys,exact_boundary_journeys,ordering_exclusions_beyond_stop_presence,unsupported_or_unreliable
pilot-00,0,"{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":30317}",64,separates,29,[],25,,2,,False
pilot-00,1,"{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":34225}",64,separates,36,[],18,,4,,False
pilot-01,0,"{""direction"":""outbound"",""requirement"":""forbidden_modes"",""target"":[""rail"",""tram""]}",64,always_true,64,[],0,,,,False
pilot-01,1,"{""direction"":""outbound"",""requirement"":""latest_departure"",""target"":32880}",64,separates,60,[],1,,3,,False
pilot-01,2,"{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0}",64,separates,5,[],56,,,,False
pilot-02,0,"{""direction"":""outbound"",""requirement"":""ordered_calls"",""target"":[""3398"",""13780""]}",64,always_true,64,[1],0,,,0,False
pilot-02,1,"{""direction"":""outbound"",""requirement"":""allowed_modes"",""target"":[""bus""]}",64,always_true,64,[0],0,,,,False
pilot-03,0,"{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0}",64,separates,2,[],23,,,,False
pilot-03,1,"{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":29880}",64,separates,24,[],1,,4,,False
pilot-04,0,"{""direction"":""return"",""requirement"":""transfer_limit"",""target"":1}",256,always_true,256,[],0,0,,,False
pilot-04,1,"{""direction"":""return"",""requirement"":""earliest_departure"",""target"":34014}",256,separates,141,[],115,141,84,,False
pilot-05,0,"{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":30600}",64,separates,20,[],5,,0,,False
pilot-05,1,"{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":28800}",64,separates,5,[],20,,0,,False
pilot-06,0,"{""direction"":""outbound"",""requirement"":""forbidden_modes"",""target"":[""rail"",""tram""]}",64,always_true,64,[2],0,,,,False
pilot-06,1,"{""direction"":""outbound"",""requirement"":""latest_departure"",""target"":28302}",64,separates,35,[],29,,6,,False
pilot-06,2,"{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1}",64,always_true,64,[0],0,,,,False
pilot-07,0,"{""direction"":""outbound"",""requirement"":""ordered_calls"",""target"":[""9311"",""9301""]}",64,always_true,64,[1],0,,,0,False
pilot-07,1,"{""direction"":""outbound"",""requirement"":""allowed_modes"",""target"":[""bus""]}",64,always_true,64,[0],0,,,,False
pilot-08,0,"{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":28260}",64,separates,41,[],16,,9,,False
pilot-08,1,"{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":32549}",64,separates,34,[],23,,2,,False
pilot-09,0,"{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1}",256,always_true,256,[],0,0,,,False
